Position,Job Type,Rate,Location,Recruiter,Reference,Description,Python,Power BI,SQL,R,Azure,Tableau,AWS,Google Analytics,Machine Learning
Data Analyst,Contract,775.0,London,Vertus Partners,JS-DA/SV/1005,"My client, a Leading Bank, are looking for a Data Analyst with specialist Insight skills to join a group wide program of work. The role will involve working on a range of projects looking at improving the way Data is used to understand customers and drive effective Data driven decision making across the business.Candidates will come from a strong Data background with the ability to manipulate and leverage Data from large relational Databases. You will also work alongside the business and key stakeholders, advising on ways to become more data driven, translating the analytics into a clear and understandable medium for the business to consume. Candidates will need:Experience working as a Data or Insights AnalystStrong SQL experienceStrong analytical skills with excellent attention to detailStrong domain knowledge across Financial ServicesR or Python and Data Visualisation (Tableau or PowerBI) skills are also beneficialThis is a PAYE Contract role via Umbrella.",1,1,1,0,0,1,0,0,0
Data Analyst,Permanent,70000.0,London,Hunter Bond,JS,"My client are looking for a talented and motivated Data Analyst (Python) to help execute the data literacy strategy across the business, working on the Analytical engineering, and contributing to the Analytics delivery road map. The team combines data analytics & business reporting with financial planning and profitability. They have a wide range of responsibilities which includes company-wide business intelligence, pricing, forecasting, commercial finance, reporting, dashboard development and risk management for various business units. A great opportunity! The following skills/experience is required:  Data Analyst background Good Python experience Strong Data Analysis skills Previously worked with large datasets. Degree in Maths, Economics, Statistics, Finance or any quantitative subject  Salary: Up to £70,000 + bonus + package Location: London (work form home options) If you are interested in this position and meet the above requirements please apply immediately.",1,0,0,0,0,0,0,0,0
Data Engineer,Permanent,70000.0,London,Sanderson Recruitment Plc,JS-SAINS001,"One of the UK's largest brands is looking to welcome a Data Engineer onto their expanding Data Tech team. This position will give the successful candidate the opportunity to demonstrate their existing skills in writing scalable robust code. Based in the heart of London, this opportunity is offering incredible benefits and a hybrid working model.What will this opportunity involve?Delving deep into StackOverflow whilst you develop a new featureWorking closely with your team to solve any tricky problems that might occurPair Programming to diagnose an elusive bugGetting involved with Pull Requests to share your knowledgeBuilding relationships with your colleagues - mentoring them, and teaching things you've learnedPartnering with Data Modellers, Analytics Engineers, Data Scientists, Architects and Product Managers to deliver world-class data productsYou should apply if:You have experience building scalable, robust, and well-tested Software products in Python or ScalaYou have a keen interest in technologies and have the ability to use self-initiative to find solutionsYou're interested in the world of Data, and have previous experience as a Data Engineer, Backend Software Engineer, or similar domainYou can take ownership of your workload and see it throughHave a passion to learn new thingsThe Perks:A generous holiday allowanceBonus schemePension planSpecial offers on gym memberships, restaurants, holidays, retail vouchers and moreFlexible working and job share conversations are encouraged",1,0,0,0,0,0,0,0,0
Data Engineer,Permanent,65000.0,Manchester,Robert Walters,JS-50800343/001,"A growing financial software company are looking to add a data engineer to their team.The company are at the early stages of their data transformation project so as the data engineer, you will work closely with the Head of Data to chose and implement the best technologies to suit the business.You will be responsible for building the data warehouse in the chosen cloud platform and from the ground up, build the data platform in order for the company to begin their data driven journey.The team is set to grow throughout this year and in the coming years so you will be in a position to progress into a senior role and take on some management/mentoring responsibilities.What are they looking for?Knowledge of a cloud platform (AWS/Azure)PythonExperience building Data Pipelines etcThis is a role where you will be able to have a big say in what technologies the business moves forward with so if you are a data engineer who wants a greenfield project, this could be ideal for you!The business are based in South Manchester and are looking for the Data Engineer to come into the office 2 times per week in order to understand the stakeholders requirements.This is a brief overview of a very exciting position so if you are curious and want to know more, get in touch and we can discussA growing financial software company are looking to add a data engineer to their team.The company are at the early stages of their data transformation project so as the data engineer, you will work closely with the Head of Data to chose and implement the best technologies to suit the business.You will be responsible for building the data warehouse in the chosen cloud platform and from the ground up, build the data platform in order for the company to begin their data driven journey.The team is set to grow throughout this year and in the coming years so you will be in a position to progress into a senior role and take on some management/mentoring responsibilities.What are they looking for?Knowledge of a cloud platform (AWS/Azure)PythonExperience building Data Pipelines etcThis is a role where you will be able to have a big say in what technologies the business moves forward with so if you are a data engineer who wants a greenfield project, this could be ideal for you!The business are based in South Manchester and are looking for the Data Engineer to come into the office 2 times per week in order to understand the stakeholders requirements.This is a brief overview of a very exciting position so if you are curious and want to know more, get in touch and we can discuss",1,0,0,0,1,0,1,0,0
Data Scientist,Permanent,57063.0,Cardiff,The Competition and Markets Authority,JS3095444/1608835328,"This is an exciting opportunity to use your data science skills for the public good and join the CMA's Data, Technology and Analytics (DaTA) unit; an established multidisciplinary team that brings together data scientists, data engineers, technologists and behavioural scientists. The DaTA unit provide the CMA with the expertise needed to support its work in digital markets, ranging from the analysis of competition in merger and antitrust cases, to protecting consumers using the services of large tech companies. The Competition and Markets Authority (CMA) is a world-leading competition authority at the forefront of tackling pressing public policy questions, including the regulation of the biggest data and technology markets. Our mission is to make markets and businesses work well in the interests of consumers. As a Data Scientist in the DaTA unit, you will be a core member of a team that is involved both in the high-profile day-to-day work of the organisation and in helping design, develop and deploy innovative technical solutions that help the organisation to be on the front foot of global regulation and consumer protection. You will be expected to have material experience in an analytical role, and you will be required to explain and communicate complex technical issues to a variety of professions within the organisation. You will be a member of a broader team, with oversight, support, and development opportunities, but you will be expected to be able to lead and deliver work independently where needed. There will also be the opportunity for line management of junior team members. Technically, you will be expected to work independently across a modern data stack based around JupyterHub and Python. You may be required to work on areas such as building data pipelines, conducting large scale probabilistic record linkage, or web scraping at scale - experience in any of these areas will be beneficial. You will be passionate about using your technical skills to help ensure that markets work well, and that consumers are treated fairly. You should have a keen interest in how machine learning and analytics work in a multi-disciplinary context, and an understanding of how algorithms and technology are used more broadly across industry. This is an opportunity to join a dynamic, supportive team working across a range of high-profile digital cases and interesting technologies. We are looking for both potential as well as experience, so if the above sounds exciting but daunting please do still apply. In return the CMA is a hugely rewarding, diverse and stimulating place to work - an opportunity to work for the public good and to stretch and develop yourself in doing so. All CMA staff enjoy generous benefits, including an excellent pension scheme, at least 25 days leave (increasing to 30 over five years), and generous maternity/paternity leave provision. You can also take advantage of interest-free season ticket loans, a cycle to work scheme, childcare vouchers, and favourable consideration of flexible working. To find out more about this opportunity and about working for the CMA, please click on the APPLY button. Closing date for applications: 11:55 pm on 20 June 2022. The CMA are an accredited Disability Confident Employer, and we are an equal opportunities employer, welcoming suitably qualified applicants from all backgrounds. We recruit by merit on the basis of fair and open competition, as outlined in the Civil Service Commission's recruitment principles.",1,0,0,0,0,0,0,0,1
Data Engineer,Permanent,57063.0,Cardiff,The Competition and Markets Authority,JS3095451/1608839332,"If you enjoy working with the latest developments in data engineering and want to deliver work that protects consumers and makes a real impact on society, then you will be interested in this exciting opportunity to join the expanding Data, Technology and Analytics (DaTA) unit at the Competition and Markets Authority (CMA). The CMA is a world-leading competition authority at the forefront of tackling pressing public policy questions, including the regulation of the biggest data and technology markets. As a Data Engineer in the DaTA unit, you will be part of a small sub-team which is critical in designing and managing our analytical infrastructure and supporting the delivery of our most technically challenging projects. You will be given time and support for study and development and will be expected to spend much of your time in hands-on technical work. However, you will also be expected to make architectural and product-level decisions in some instances and should feel comfortable engaging with internal stakeholders to make sure that we are building the right things.  You will be working across all levels of the tech stack, but with a focus on Back End, infrastructure, orchestration, and data. You may be working on orchestrating a pipeline to handle and run machine learning models on millions of incoming documents or discussing with the Data Scientists how to handle model and data versioning in the same situation. You could be leading on a project and making architectural design decisions or engaging with other teams to make sure we have understood their needs correctly. You might be using Spark libraries for probabilistic data linkage across large datasets or working on containerising the Spark environment for doing that linkage as part of a regular ingestion job. All of these, and many other things, are happening in a modern tech stack, mostly in AWS, based around JupyterHub, Docker and serverless Python. A master's degree in a quantitative or computer science subject or equivalent experience gained working in data engineering, data science or development in the public cloud is essential. Equally important is experience of writing code, including Python, to work with large and messy datasets, ideally using cloud services such as AWS, Azure or Google Cloud. You will also need a proven interest in learning about and understanding the latest methods and technologies within data science and engineering. This is an opportunity to join a dynamic, supportive team working across a range of interesting technologies. We are looking for potential as much as experience, so if the above sounds exciting but daunting please do still apply. In return the CMA is a hugely rewarding, diverse and stimulating place to work - an opportunity to work for the public good and to stretch and develop yourself in doing so. All CMA staff enjoy generous benefits, including an excellent pension scheme, at least 25 days leave (increasing to 30 over five years), and generous maternity/paternity leave provision. You can also take advantage of interest-free season ticket loans, a cycle to work scheme, childcare vouchers, and favourable consideration of flexible working. To find out more about this opportunity and about working for the CMA, please click on the APPLY button. Closing date for applications: 11:55 pm on 20 June 2022. The CMA are an accredited Disability Confident Employer, and we are an equal opportunities employer, welcoming suitably qualified applicants from all backgrounds. We recruit by merit on the basis of fair and open competition, as outlined in the Civil Service Commission's recruitment principles.",1,0,0,0,1,0,1,0,1
Data Architect,Permanent,82500.0,Birmingham,Michael Page Technology,JS-JN -052022-5601219,"Reporting to the Head of Management Information, this leading professional services provider require a Data Architect to lead on designing, creating, deploying and managing the data architecture within key business units to ensure that data models fulfil the strategic data needs of the business. As the Data Architect you will have knowledge of system architecture (incl. Cloud/Azure) in order to influence the design and core properties of the system.Client DetailsLeading Professional Services organisationDescriptionReporting to the Head of Management Information, this leading professional services provider require a Data Architect to lead on designing, creating, deploying and managing the data architecture within key business units to ensure that data models fulfil the strategic data needs of the business. As the Data Architect you will have knowledge of system architecture (incl. Cloud/Azure) in order to influence the design and core properties of the system.You will be expected to set Data Architect principles, create models of data to support the implementation of Business/Data Architecture, create diagrams showing key data entities and create documentation and inventory to support the overall implementation. This individual will be responsible for providing clarity about every aspect of data, to enable data scientists to work with trustable data efficiently and to solve complex business problems. You will map the data flows between data systems and advise on which type of database design and data format to use. Knowledge of data warehouses/modelling and their application for reporting on historical data is essential.Key Responsibilities:Work with Clients to create a centralised Data Architecture aligned with business processesDesign flexible architecture that can take advantage of new business opportunities and emerging technologiesMap the data flows between data systems and advise on which type of database and data format to use. Ensure that these systems are designed in a synergistic way and ensure integrity between the data source and its referencesUnderstand existing platforms and databases whilst designing for the futureInform and influence process definition and application build to serve the best interests of the data architecture blueprintWork with stakeholders to fully understand business processes and operations to ensure that the data architecture design meets these requirementsKnowledge of data warehouses and their application for reporting on historical dataDesign the data entities, data elements, taxonomies and data flows that sit underneath the business processesHave a full understanding of the output data required to satisfy reporting and analytics; along with, the source data to be gathered, transformed or referenced to produce the output dataEnsure that all designs account for expected standards of data quality and service level agreementsWork closely with enterprise and system architects to guide the enterprise solutionUnderstand and help define data archival and retention policies and adhere to standards of data governanceBuild an architectural blueprint at the conceptual and logical level (based on business process and operations) to ensure the successful implementation of systems architecture and to avoid disjointed data systems and gaps between teams and departmentsKey Skills & Experience:Depth in Datamodelling and designing effective database solutions and models to store and retrieve company dataKnowledge of how to examine new data system requirements, implement migration models and oversee the migration of data from Legacy systems to new solutionsKnow how to assure and integrate data services to meet the needs of the business.Strong communicator with excellent stakeholder management/interpersonal skillsGood level of understanding and experience as a developer and administrator of SQL databases (preferably MySQL and SQL Server).Good experience of profiling, wrangling, transforming and troubleshooting data from a variety of sources including SQL-databases and Excel Spreadsheets.Understand schema, entities, data flow and the business rules that need to be applied to the dataA medium level understanding of business analysis in practice and requirements engineeringKnowledge of established and emerging data technologies and the latest innovations in the marketStrong mathematical and analytical skills to perform analytical reasoning, computation, interpretation and presentation of data Can design models with well-defined data elementsExpert knowledge of databases and cloud architecture/AzureTOGAF Qualification is highly desirableProfileDepth in Datamodelling and designing effective database solutions and models to store and retrieve company dataKnowledge of how to examine new data system requirements, implement migration models and oversee the migration of data from Legacy systems to new solutionsKnow how to assure and integrate data services to meet the needs of the business.Good level of understanding and experience as a developer and administrator of SQL databases (preferably MySQL and SQL Server).Good experience of profiling, wrangling, transforming and troubleshooting data from a variety of sources including SQL-databases and Excel Spreadsheets.Understand schema, entities, data flow and the business rules that need to be applied to the dataKnowledge of established and emerging data technologies and the latest innovations in the marketStrong mathematical and analytical skills to perform analytical reasoning, computation, interpretation and presentation of data Can design models with well-defined data elementsExpert knowledge of databases and cloud architecture/AzureTOGAF Qualification is highly desirableJob OfferOpportunity to lead on Data Architecture transformationOpportunity to work on a major Data Transformation Programme",0,0,1,0,1,0,0,0,0
Data Analyst,Contract,350.0,Bath,Michael Page Technology,JS-JN -062022-5644137,"A leading FTSE 200 Manufacturing client of Michael Page are looking to recruit for a talented Data Analyst to help provide sales and market intelligence to support the leadership in developing their strategy and growthClient Details Leading FTSE 200 Manufacturing client DescriptionDevelop database tools and processes to improve the delivery of sales and market BI to key stakeholders using internal data from ERP, CRM, and external data sourcesWork with IT to extend the scope and functionality of the SDP (Strategic Data Platform), Power BI dataset and the Group Sales & Quote Analysis Power BI dashboardOptimise the accuracy of the sales and market analysis data held on internal systemsDevelop databases and tools to manage and interpret large volumes of complex data using Access, Excel, and Power BI, ProfileData AnalysisPower BIERPStrong analytical skills and the ability to present conclusions and insights in a clear and concise mannerThe ability to create great presentations using visualisation toolsA technical aptitude and interest in engineering applicationsJob Offer6 month contract£350 per day (Outside IR35)Based in Bath (Hybrid working offered)",0,1,0,0,0,0,0,0,0
Data Scientist,Permanent,50000.0,London,Michael Page Technology,JS-JN -062022-5647765,"Client DetailsDigital/Commercial Service ProviderDescriptionThis Private Equity owned, high growth Digital Business require a Data Scientist to work with the senior leadership team (CXO) to analyse and interpret large, complex datasets to help shape the next phase of growth and optimize revenue performance. The role holder will advance the analytical data capabilities across the business by deploying data science/analysis techniques across predictive/linear/regression modelling in a commercial setting. This role does not require Machine Learning or AI application. You will be required to work 2-3 days in the office in London in order to collaborate with broader teams and CXO function.Key ResponsibilitiesUndertake statistical and predictive modelling to guide the leadership team about previous and future business performanceWork with stakeholders throughout the organisation to identify opportunities for leveraging company data to drive business solutionsMine and analyse data from company databases and external sources to drive optimization and improvement of sales (go-to-market) and collections performanceAssess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data setsUse predictive modelling to increase and optimise client experiences, revenue generation and other business outcomesCoordinate with different functional teams to implement models and monitor outcomesImprove the collection of data by building new queries (Python/SQL) and databases that will generate improved performance reportingAnalyse raw data: assessing quality, cleansing, structuring for downstream processingDesign accurate and scalable prediction algorithmsCollaborate with engineering teams to bring analytical prototypes to productionGenerate actionable insights for business improvements via visualisation tools (ideally Power BI)Qualifications, Skills and ExperienceBachelor's degree or equivalent experience in a Quantitative or Scientific field (Statistics, Mathematics, Computer Science, Engineering, etc.)At least 1 - 2 years' of experience in quantitative analytics or Datamodelling/predictive modellingDeep understanding of predictive modelling and algorithmsFluency in a programming language (Python, Anaconda, SQL)Experience of common data science toolkits such as Pandas, NumPy, Scikit-learnExperience with data quality assurance and data cleansingFamiliarity with Big Data frameworks and visualization tools (Power BI)Commercial skillsProfileBachelor's degree or equivalent experience in a Quantitative or Scientific field (Statistics, Mathematics, Computer Science, Engineering, etc.)At least 1 - 2 years' of experience in quantitative analytics or Datamodelling/predictive modellingDeep understanding of predictive modelling and algorithmsFluency in a programming language (Python, Anaconda, SQL)Experience of common data science toolkits such as Pandas, NumPy, Scikit-learnExperience with data quality assurance and data cleansingFamiliarity with Big Data frameworks and visualization tools (Power BI)Commercial skillsJob OfferOpportunity to Lead on the creation of a Data Science capabilityOpportunity to work with CXO leadership team to shape commercial strategy",1,1,1,0,0,0,0,0,1
Data Analyst,Contract,470.0,London,McCabe & Barton,JSBA/111,"McCabe & Barton are currently working with a very reputable retail client, headhunting for a Data Privacy Business Analyst position, with a desirable day rate and opportunity on a 3 months' contract basis, with the view to extend. Key skills and responsibilities are as follows:  Extensive experience in the retail and Business Analysis sphere. Experience with Data Privacy. Strong documentation approval processes and prioritisation experience. Ability and experience to run work-shops. Operational model design skills. Experience of working in an Agile environment In-depth experience of change management and transformation. Great time management, team player & collaborative.  If you are interested, please do e-mail your CV or apply to the advertisement. Contact: Taylor Ord-Maxfield E-mail: (see below)  Number: (see below) ",0,0,0,0,0,0,0,0,0
Data Architect,Contract,600.0,Manchester,J & C Associates Ltd,JSDATA ARCHITECT (MUST BE SC CLEARED),"We are IT Recruitment Specialists partnered with a prestigious Global Consultancy who require a Data Architect (Must be SC Cleared)for one of their Public Sector Clients based in  Manchester, Telford, Southend or London - one of those 4   IR35 - This role is Outside IR35  Role Title: Data Architect - Must be SC ClearedLocations - spread across delivery centres - 4 sites - Manchester, Telford, Southend or London - one of those 43 months rolling contract WFH 3 days a week, possibly a maximum of 2 days in the officeFamiliar with a PDI, Talend, ability to talk Architectures, TOGAf like qualification to them. If you are interested in this position and would like to learn more, please send through your CV and we will get in touch with you as soon as possible. Please note, candidates are often Shortlisted within 48 hours.",0,0,0,0,0,0,0,0,0
Data Analyst,Contract,125.0,Fareham,Concept Resourcing,JS-BBBH41520,"My client in Fareham, Hampshire are a large government organisation, they are seeking a Data & Research Analyst on an initial 6 month contract basis (37 hours per week). The role is paying £19.91 per hour (permanent salary equivalent £36,838) for the duration of the contract. Qualifications PhD/Degree/MSc in a highly numerate subject (eg Maths, Economics, Statistics, Physics, Computer Science) ExperienceStrong skills in R programming for data analysis (essential).Excellent team-working skills.Ability to produce results and provide information in a fast-paced environment.Excellent communication skills, both written and oral.Competent in Microsoft Excel.Excellent attention to detail.Successful candidates will be required to undergo SC Clearance, therefore applicants must of resided in the UK for a minimum of three out of the last five years, in order to undergo this level of security check.",0,0,0,1,0,0,0,0,0
Data Analyst,Permanent,60500.0,London,IDPP,JS-BBBH3789,"We are currently assisting one of the worlds leading Technology Consultancies with their need for a Data Analyst to join their team on a permanent basis. The post will be based from their London office working on a Hybrid basis of 2/3 days per week in the office and the remainder home working. Duties within the role will include:Collaborate with end users, product managers, data scientists and other SMEs to make design decisions and formulate implementation strategies.Form lasting partnerships with data scientists to develop new data science ideas into enterprise grade applications with real business value.Become advocate for innovation and get excited about new technologies and new ways of doing things.Invest time in both learning and advancing your knowledge and sharing your knowledge through peer reviews, demos, debates, and other knowledge sharing platforms.Skills/Experience RequiredMinimumExperience working with Linux and using the command line.Proficient in using Python programming; knowledge in Python frameworksDesirable Knowledge in Django REST frameworkExperience building and consuming RESTful APIs.Experience using UI frameworks (Angular/React/Vue) and CSS frameworksExperience in developing JavaScript applicationsRelational DB (eg, PostgreSQL, MySQL).Understanding of web application security practices and cloud security principles.AWS services (eg, S3, EC2, SageMaker)Familiarity with CI/CD, GIT, DockerKnowledge of graph databaseTo apply for this opportunity or for further information please respond via this advert with a copy of your current CV or call Richard New.",1,0,1,0,0,0,1,0,0
Data Analyst,Permanent,45000.0,London,Lorien,JS-BBBH22428,"My client, a multinational, multi-brand business serving millions of customers a day within the retail sector are currently seeking a new Data Visualisation and Automation Analyst to join their high calibre Applied Data & Analytics team and bring on their expertise to stretch their imagination of what the power of data and insights can contribute to their current way of working.As a Data Visualisation and Automation Analyst, you'll use the data to deliver value to the organisation across all aspects of the business, delivering a range of scalable data products to various business units to help solve complex business challenges and ultimately help the organisation to become more data-centric.Responsibilities IncludeWork with product owners in relevant squads to create an automation, reporting and visualisation backlogWork with the product owner to understand where the biggest value-creating opportunities lie and then deliver both POC's and productionised reporting capabilities that fulfil the requirementsPrioritise requirements and produce a road map of activities, with product owners, which will deliver in a timely, cost-effective and highly repeatable way for your stakeholdersManage and lead a team, both on- and off-shore, to deliver outstanding products on-time, to budget and specificationKey SkillsA strong understanding of the tools and technologies that can support great reporting, including Microstrategy, PowerBI and TableauMust also have strong experience and understanding of SQLA strong understanding of the tools and technologies that can support great reporting, automation and visualisationLorien Plc is acting as an Employment Agency in relation to this vacancy.",0,1,1,0,0,1,0,0,0
Data Analyst,Permanent,48000.0,London,McCabe & Barton,JS/FP/DA03,McCabe and Barton are pleased to be working with a large media partner to offer a data analyst role. The role will be responsible for delivering analytics and recommendations to guide the company in the subscriptions business and forecast subscription acquisition and retention.  Key skills and experience required:   Minimum 3 years in a data analyst or similar role  Experience working in a subscriptions or recurring revenue environment  Advanced knowledge of SQL  Experience with PowerBI (plus DAX) or Tableau Ability to present data findings to senior stakeholders Excellent communication skills Comfortable working with stakeholders at all levels Can do attitude and natural problem solves  Skills and experience that would be beneficial:   Knowledge of statistical analysis with R or Python  Experience working with Google Analytics  If interested and you feel your skills would fit the specifications please do send your CV to Finn Pope,1,1,1,1,0,1,0,1,0
Data Analyst,Contract,550.0,London,Allen Lane Ltd.,JS,"Job purpose This individual will support the development, delivery and management of common, consistent and high-quality data and information services across the department; identification of all relevant data repositories, cataloguing data, establishing data and system requirements, embedding new tools and approaches to information analysis, and ensuring data quality. The individual will be required to work regularly and closely with all teams across the agency to understand and interpret their needs, as well as the rest of the Digital Team in order to turn identified, catalogued data and these requirements into practical solutions for improving, managing and preparing data for a new system. Key relationships The post holder is expected to develop and maintain good working relationships with:  Wider Digital and Transformation teams, supporting the delivery of new technical services and platforms, maintaining existing data connections within applications, ensuring that appropriate data standards are met.  Business teams and data practitioners across the department, identifying data services, intelligence and tools which would improve their activities, and supporting them to make the best use of data.  System owners across the business, such as Legal, Finance, Development, ensuring our data connects with other data services within the agency.  Analytical teams including: Research and Analysis, Economics, Single Pipeline managers and Strategic Information Managers ensuring the provision of data, intelligence and capabilities to support their activities. Experience  Experience of data discovery in system and off-system environments.  Experience of developing data documentation and business relationships to validate data  Experience of developing target data schema in partnership with the business  Experience of leading and delivering data migration to new SaaS platform.  Experience of Datamodelling and visualisation tools.  Proven experience working with large and complex data environments  Evidence of adaptability; able to learn new technologies and methodologies quickly.  Demonstrable experience in a role that includes problem solving, analytical and logical skills.  Experience of working in an Agile environment  Able to translate business need into technical solutions  Demonstrated ability to develop robust enterprise solutions within timelines. Skills  Efficiently collecting, manipulating and presenting large and complex datasets  Datamodelling, data cleansing, and data enrichment skills  Ability to deliver and manage data migration from multiple different sources to new platform or system.  Designing and building data infrastructure/automated reporting tools  Comfortable giving definition to ambiguous problems, can do this independently with limited guidance  Verbal/written communication & data presentation skills, including experience of effectively communicating with both business and technical teams  Strong analytical skills with the ability to collect, organise, analyse, and disseminate significant amounts of information with attention to detail and accuracy  Quality assurance, validation and data linkage abilities",0,0,0,0,0,0,0,0,0
Data Engineer,Permanent,55000.0,London,Agile Recruit,JSMP89795CT1995,"Would you like to take on a greenfield opportunity that allows you to build and manage data information systems and set up new reporting systems using SQL and Power BI. If so, this could be your ideal next move, and a chance to establish yourself with an innovative and growing global team. Main responsibilities of the Data Engineer  The design, creation, and maintenance of data management systems Understanding the data and reporting needs of the operating and accounting desks to assist with the creation of Front End interfaces (Power Apps) and SQL mapping to gather required data Assist with the migration of data from pre-existing applications into SQL Develop desired reports and dashboards from SQL database, data warehouse, and Business Intelligence applications Ability to clearly communicate findings to stakeholders in layman terms Strong competency in working collaboratively and communicating effectively with various departments across the organization in order to create alignment on processes that impact data  Requirements for the Data Engineer  This would suit technical data analyst or data engineer with around 5 years commercial working experience  2+ years experience writing SQL; BI Reporting; Low Code Platforms 2+ years processing complex data in SQL, with ability to read and interpret data others code Experience in Business Intelligence tools Knowledge of Office and Microsoft Environment Exceptional communication skills and interest in taking a leading role in the future Creative problem solver and team-oriented collaboration  Location: Hybrid role, 2-3 days in the City Office Salary: Highly competitive with excellent benefits package For more details and to apply, please submit your CV today.",0,1,1,0,0,0,0,0,0
Data Engineer,Permanent,50000.0,Bristol,Michael Page Technology,JS-JN -032022-5387889,"Excellent opportunity to join this rapidly expanding Financial Services organisation based in the heart of Bristol. They are looking to further expand their Data Engineering team working on building and managing data pipelines to meet more sophisticated analytics capabilities of the Data Science team.Client DetailsRapidly expanding Financial Services organisationDescriptionExcellent opportunity to join this rapidly expanding Financial Services organisation based in the heart of Bristol. They are looking to further expand their Data Engineering team working on building and managing data pipelines to meet more sophisticated analytics capabilities of the Data Science team.Key responsibilities:Ensure data is of high quality and high availabilityBuilding and managing data pipelines and internal systems for collecting, cleaning, storing, and monitoring of data.Improving data infrastructure, ensuring efficient access to data for all stakeholdersBuild external interfaces to acquire and efficiently store new market data.Lead the upgrade of databases using MySQLBuild and improve our batch and Real Time streaming data pipelines.Work alongside our Front End and data science teams building tools or extracting and transforming data (ETL)Audit databases and improve governance/practices.Prepare datasets for further modelling/analysis and ensure new data is correct/complete.Key Skills:Strong SQL/MySQL and programming skills (eg, Python, R, Julia).Relevant degree in a quantitative/computational discipline or equivalent qualification.1-2+ years relevant experience in Database development or Junior Data Engineer roleExperience with AWS cloud services: EC2, ECS, RDS, S3 - Azure OR GCP will also be consideredExperience with a Scripting language, such as Python.ProfileStrong SQL/MySQL and programming skills (eg, Python, R, Julia).Relevant degree in a quantitative/computational discipline or equivalent qualification.1-2+ years relevant experience in Database development or Junior Data Engineer roleExperience with AWS cloud services: EC2, ECS, RDS, S3 - Azure OR GCP will also be consideredExperience with a Scripting language, such as Python.Job OfferOpportunity to develop Data Engineering SkillsOpportunity to join rapidly expanding Start Up",1,0,1,0,1,0,1,0,0
Data Engineer,Permanent,60000.0,London,Lynx Recruitment Ltd,JSCLOUD DATA ENGINEER,"Lynx Recruitment are partnered with one of the fastest growing IT consulting companies in Europe and due to growth are now looking for a Data Engineer to join the business. Our client specialises in workload migration to Google Cloud Platform and then supports clients to optimise these workloads. The collaborative approach allows their clients to enjoy benefits such as rapid innovation and development cycles. Tasks   Evaluate current state of clients' cloud applications and tech stack Understand client needs and develop cloud strategies & solutions Provide guidance to your team on executing project plans Organise and manage GCP data architecture and infrastructures Implement best practices for cloud adoption on security and governance Continuously seek opportunities on new projects and clients  Qualifications   Previous Cloud data experiences (ideally Google Cloud Platform, but Azure or AWS is also fine) Python Experience relevant to your role. So creating/maintaining data pipelines if you are an engineer, building models if you are a data scientist, or quality assurance and visualisation if you are analyst. SQL experience and knowledge Knowledge on best practices of data storages, management and security Familiarity with DevOps principles for CICD pipelines would be a plus Experience in working with Senior Stakeholders and Project Owners ",1,0,1,0,1,0,1,0,0
Data Engineer,Permanent,60000.0,Cardiff,CPS Group (UK) Ltd,JS-54085,"KEY DUTIES AND RESPONSIBILITIES*Provide mentorship to team members by teaching standards for code maintainability and performance.*Perform a role as part of an Agile team to develop, test and maintain high quality systems that fulfil business needs.*Extracting data from various data sources for example relational databases, files and API's)*Help evolve our data platform with a view towards growth and high throughput.*Execute practices such as continuous integration and test driven development to enable the rapid delivery of working code.*Design and build metadata driven data pipeline using Python and SQL in accordance with guidelines set by the Data Architect.*Ship medium to large features independently using industry standard processing patterns.SKILLS AND QUALIFICATIONS*Solid development experience within a commercial environment creating production grade ETL pipelines in python*Hands on experience with data orchestrators such as Airflow(Airflow Preferred)*Knowledge of Agile development methodologies*Awareness of cloud technology particularly AWS.*Knowledge of automated delivery processes*Experience designing and building autonomous data pipelines*Ability to write efficient code and comfortable undertaking system optimisation and performance tuning tasks*Comfortable working with relational databases such as Oracle, PostgreSQL, MySQL, and MariaDB (PostgreSQL preferred)By applying to this advert you are giving CPS Group (UK) Ltd authority to hold and process your data for this specific role and any other roles we may deem suitable to you over time. We will not pass your data to any third party without your verbal or written permission to do so. All incoming and outgoing calls are recorded for training and compliance purposes. CPS Group (UK) Ltd is acting as an Employment Agency in relation to this vacancy. Our new privacy policy can be found on our website",1,0,1,0,0,0,1,0,0
Data Engineer,Permanent,100000.0,London,Technical Resources Ltd,JS1133294,"The Company: This company is a European leader in cloud implementation, application development, managed services and training. Partnering with the best cloud hyperscalers in the world over the last 10 years, their digital transformation solutions are industry leading, helping enterprise clients to increase security, agility, scalability, and reduced costs. With a large network of cloud-native experts, this company is trusted to deliver a quality service from start to finish. The Role: As a Senior Data Engineer you will join a team of Digital Builders. You will be using your expertise to build data platforms on cloud hyperscalers, working with customers in the areas of finance, energy, manufacturing industries, or consumer services. You will be the be tasked with building next-generation data estates with the full potential of public cloud platforms, using your skills to bridge the gap between the customer and technical experts. Join a leading and rapidly growing public cloud provider in Europe! Requirements:   Ability to engage with senior customer stakeholders (both IT and business) Datamodelling skills (information and integration architecture) Understanding of the public cloud data products and services Understanding of data pipelines, Data warehousing, data lake, ETL Understanding of enterprise IT architecture and typical application landscapes  Salary:  Basic - £100k Bonus - 15%  The Data Engineer will be based in London with flexible/remote working.",0,0,0,0,0,0,0,0,0
