,Position,Job Type,Rate,Location,Recruiter,Reference,Description
168,Data Insight Analyst - Banking - London,Contract,£500 - £550 per Day,"London, UK",Vertus Partners,JS-DIA/SV/1406,"Our client, a Global Bank, are looking for a Data Insight Analyst to join an analytics team that focus on procurement.The role will involve end to end analysis surrounding procurement functions as well as third party risk management. Another significant part of the role is working and communicating with the stakeholders in order to understand and gather the insight and analytics requirements.From a technical perspective, alongside the analytical aspect, data structuring, cleansing and visualisation is a crucial aspect of the role.It's a really interesting role where you'll be able to utilise modern technologies such as GCP as well as work in a Global Bank gaining experience of working within Financial Services.Candidates will need:Expert level Tableau skillsExperience delivering insights to business stakeholdersAn understanding of SQL and PythonExcellent communication and Data Visualisation skillsPrior GCP experience would be beneficialA familiarity with Data Science principles is also desirableThis is a PAYE Contract via Umbrella"
169,Data Analyst - Banking - London - Contract,Contract,£750 - £800 per Day,"London, UK",Vertus Partners,JS-DA/SV/1005,"My client, a Leading Bank, are looking for a Data Analyst with specialist Insight skills to join a group wide program of work. The role will involve working on a range of projects looking at improving the way Data is used to understand customers and drive effective Data driven decision making across the business.Candidates will come from a strong Data background with the ability to manipulate and leverage Data from large relational Databases. You will also work alongside the business and key stakeholders, advising on ways to become more data driven, translating the analytics into a clear and understandable medium for the business to consume. Candidates will need:Experience working as a Data or Insights AnalystStrong SQL experienceStrong analytical skills with excellent attention to detailStrong domain knowledge across Financial ServicesR or Python and Data Visualisation (Tableau or PowerBI) skills are also beneficialThis is a PAYE Contract role via Umbrella."
170,Data Visualisation Developer,Permanent,50986.00 - 55191.00 Annual GBP,"London, UK",Greater London Authority,JS3100502/1623117882,"We are looking for a technically experienced, visually literate, data viz developer to work on predominantly web based interactive data projects, and join our team of developers, designers, data scientists, analysts and engineers in the City Intelligence Unit.  You will have the opportunity to produce high profile outputs, used by the Mayor and senior staff as well as working on more technical outputs for specialist users in the London Boroughs and across London's public, private and voluntary sectors. You will have a few years' experience building engaging data visualisation projects, be able to use and adapt common visualisation libraries, and be able to create custom D3 visualisations from scratch. Ideally you will have worked querying and bringing large datasets to the web in the past, have an interest in connecting spatial and non-spatial data. We are particularly interested in data viz developers who are visually literate and have a good sense of what works well in communicating data to a diverse audience (public & professional).  You will have a predominantly technical background, with experience of (some, but not all) technologies like D3, Observable, VegaLite, Plotly, JS, Vue, React, Svelte, Git, Leaflet, MapBox, DeckGL, WebGL, SVG, Canvas, HTML & CSS.  You will have a good design sense and be able to produce work for both the web and as static graphics for social media, reports and presentations. You should be able to think at different levels of detail including application architecture, overall user experience and fine graphic details. As an applicant you may not have all the experience outlined, but we encourage you to apply if some of this sounds like you, and the job description sounds like a direction you are keen to take in your career. If you enjoy solving both technical and communications problems, creating elegant and concise designs, working with clients and being involved in the entire life cycle of designing, building and maintaining visualisation projects - apply today.  Please ensure your supporting statement addresses only the technical requirements as outlined in the person specification (behavioural competencies will be assessed at interview stage). This role will be based at London Fire Brigade's Head Office (Union Street SE1 0LL). GLA staff are hybrid working up to 3 days a week in our offices and remotely depending on their role. As part of this, you will need to split your time between home working and coming into the office.  We are committed to being an inclusive employer and we are happy to consider flexible working arrangements. We would welcome applications from candidates who are seeking part time work as this role is open to job share. In addition to a good salary package, we offer an attractive range of benefits including 30 days' annual leave, interest free season ticket loan, interest free bicycle loan and a career average pension scheme. To apply, please click APPLY NOW. Application closing date: Sunday 26 June 2022 at 23:59 GMT. Interviews will take place via Video: Wednesday 6 July 2022.  London's diversity is its biggest asset and we strive to ensure our workforce reflects London's diversity at all levels. We welcome applications from everyone regardless of age, gender, gender identity, gender expression, ethnicity, sexual orientation, faith or disability. We particularly encourage applications from Black, Asian and Minority ethnic candidates and disabled candidates who are currently underrepresented in our workforce. "
171,Data Analyst - Python - Leading FinTech,Permanent,Up to £70k + bonus + package,"London, UK",Hunter Bond,JS,"My client are looking for a talented and motivated Data Analyst (Python) to help execute the data literacy strategy across the business, working on the Analytical engineering, and contributing to the Analytics delivery road map. The team combines data analytics & business reporting with financial planning and profitability. They have a wide range of responsibilities which includes company-wide business intelligence, pricing, forecasting, commercial finance, reporting, dashboard development and risk management for various business units. A great opportunity! The following skills/experience is required:  Data Analyst background Good Python experience Strong Data Analysis skills Previously worked with large datasets. Degree in Maths, Economics, Statistics, Finance or any quantitative subject  Salary: Up to £70,000 + bonus + package Location: London (work form home options) If you are interested in this position and meet the above requirements please apply immediately."
172,Data Engineer,Permanent,£60k - £80k per annum + Hybrid Working,"London, UK",Sanderson Recruitment Plc,JS-SAINS001,"One of the UK's largest brands is looking to welcome a Data Engineer onto their expanding Data Tech team. This position will give the successful candidate the opportunity to demonstrate their existing skills in writing scalable robust code. Based in the heart of London, this opportunity is offering incredible benefits and a hybrid working model.What will this opportunity involve?Delving deep into StackOverflow whilst you develop a new featureWorking closely with your team to solve any tricky problems that might occurPair Programming to diagnose an elusive bugGetting involved with Pull Requests to share your knowledgeBuilding relationships with your colleagues - mentoring them, and teaching things you've learnedPartnering with Data Modellers, Analytics Engineers, Data Scientists, Architects and Product Managers to deliver world-class data productsYou should apply if:You have experience building scalable, robust, and well-tested Software products in Python or ScalaYou have a keen interest in technologies and have the ability to use self-initiative to find solutionsYou're interested in the world of Data, and have previous experience as a Data Engineer, Backend Software Engineer, or similar domainYou can take ownership of your workload and see it throughHave a passion to learn new thingsThe Perks:A generous holiday allowanceBonus schemePension planSpecial offers on gym memberships, restaurants, holidays, retail vouchers and moreFlexible working and job share conversations are encouraged"
173,Data Engineer,Permanent,£55k - £75k per annum,"Manchester, UK",Robert Walters,JS-50800343/001,"A growing financial software company are looking to add a data engineer to their team.The company are at the early stages of their data transformation project so as the data engineer, you will work closely with the Head of Data to chose and implement the best technologies to suit the business.You will be responsible for building the data warehouse in the chosen cloud platform and from the ground up, build the data platform in order for the company to begin their data driven journey.The team is set to grow throughout this year and in the coming years so you will be in a position to progress into a senior role and take on some management/mentoring responsibilities.What are they looking for?Knowledge of a cloud platform (AWS/Azure)PythonExperience building Data Pipelines etcThis is a role where you will be able to have a big say in what technologies the business moves forward with so if you are a data engineer who wants a greenfield project, this could be ideal for you!The business are based in South Manchester and are looking for the Data Engineer to come into the office 2 times per week in order to understand the stakeholders requirements.This is a brief overview of a very exciting position so if you are curious and want to know more, get in touch and we can discussA growing financial software company are looking to add a data engineer to their team.The company are at the early stages of their data transformation project so as the data engineer, you will work closely with the Head of Data to chose and implement the best technologies to suit the business.You will be responsible for building the data warehouse in the chosen cloud platform and from the ground up, build the data platform in order for the company to begin their data driven journey.The team is set to grow throughout this year and in the coming years so you will be in a position to progress into a senior role and take on some management/mentoring responsibilities.What are they looking for?Knowledge of a cloud platform (AWS/Azure)PythonExperience building Data Pipelines etcThis is a role where you will be able to have a big say in what technologies the business moves forward with so if you are a data engineer who wants a greenfield project, this could be ideal for you!The business are based in South Manchester and are looking for the Data Engineer to come into the office 2 times per week in order to understand the stakeholders requirements.This is a brief overview of a very exciting position so if you are curious and want to know more, get in touch and we can discuss"
174,Data Scientist,Permanent,53527.00 - 60599.00 Annual GBP,"Cardiff, UK",The Competition and Markets Authority,JS3095444/1608835328,"This is an exciting opportunity to use your data science skills for the public good and join the CMA's Data, Technology and Analytics (DaTA) unit; an established multidisciplinary team that brings together data scientists, data engineers, technologists and behavioural scientists. The DaTA unit provide the CMA with the expertise needed to support its work in digital markets, ranging from the analysis of competition in merger and antitrust cases, to protecting consumers using the services of large tech companies. The Competition and Markets Authority (CMA) is a world-leading competition authority at the forefront of tackling pressing public policy questions, including the regulation of the biggest data and technology markets. Our mission is to make markets and businesses work well in the interests of consumers. As a Data Scientist in the DaTA unit, you will be a core member of a team that is involved both in the high-profile day-to-day work of the organisation and in helping design, develop and deploy innovative technical solutions that help the organisation to be on the front foot of global regulation and consumer protection. You will be expected to have material experience in an analytical role, and you will be required to explain and communicate complex technical issues to a variety of professions within the organisation. You will be a member of a broader team, with oversight, support, and development opportunities, but you will be expected to be able to lead and deliver work independently where needed. There will also be the opportunity for line management of junior team members. Technically, you will be expected to work independently across a modern data stack based around JupyterHub and Python. You may be required to work on areas such as building data pipelines, conducting large scale probabilistic record linkage, or web scraping at scale - experience in any of these areas will be beneficial. You will be passionate about using your technical skills to help ensure that markets work well, and that consumers are treated fairly. You should have a keen interest in how machine learning and analytics work in a multi-disciplinary context, and an understanding of how algorithms and technology are used more broadly across industry. This is an opportunity to join a dynamic, supportive team working across a range of high-profile digital cases and interesting technologies. We are looking for both potential as well as experience, so if the above sounds exciting but daunting please do still apply. In return the CMA is a hugely rewarding, diverse and stimulating place to work - an opportunity to work for the public good and to stretch and develop yourself in doing so. All CMA staff enjoy generous benefits, including an excellent pension scheme, at least 25 days leave (increasing to 30 over five years), and generous maternity/paternity leave provision. You can also take advantage of interest-free season ticket loans, a cycle to work scheme, childcare vouchers, and favourable consideration of flexible working. To find out more about this opportunity and about working for the CMA, please click on the APPLY button. Closing date for applications: 11:55 pm on 20 June 2022. The CMA are an accredited Disability Confident Employer, and we are an equal opportunities employer, welcoming suitably qualified applicants from all backgrounds. We recruit by merit on the basis of fair and open competition, as outlined in the Civil Service Commission's recruitment principles."
175,Data Engineer,Permanent,53527.00 - 60599.00 Annual GBP,"Cardiff, UK",The Competition and Markets Authority,JS3095451/1608839332,"If you enjoy working with the latest developments in data engineering and want to deliver work that protects consumers and makes a real impact on society, then you will be interested in this exciting opportunity to join the expanding Data, Technology and Analytics (DaTA) unit at the Competition and Markets Authority (CMA). The CMA is a world-leading competition authority at the forefront of tackling pressing public policy questions, including the regulation of the biggest data and technology markets. As a Data Engineer in the DaTA unit, you will be part of a small sub-team which is critical in designing and managing our analytical infrastructure and supporting the delivery of our most technically challenging projects. You will be given time and support for study and development and will be expected to spend much of your time in hands-on technical work. However, you will also be expected to make architectural and product-level decisions in some instances and should feel comfortable engaging with internal stakeholders to make sure that we are building the right things.  You will be working across all levels of the tech stack, but with a focus on Back End, infrastructure, orchestration, and data. You may be working on orchestrating a pipeline to handle and run machine learning models on millions of incoming documents or discussing with the Data Scientists how to handle model and data versioning in the same situation. You could be leading on a project and making architectural design decisions or engaging with other teams to make sure we have understood their needs correctly. You might be using Spark libraries for probabilistic data linkage across large datasets or working on containerising the Spark environment for doing that linkage as part of a regular ingestion job. All of these, and many other things, are happening in a modern tech stack, mostly in AWS, based around JupyterHub, Docker and serverless Python. A master's degree in a quantitative or computer science subject or equivalent experience gained working in data engineering, data science or development in the public cloud is essential. Equally important is experience of writing code, including Python, to work with large and messy datasets, ideally using cloud services such as AWS, Azure or Google Cloud. You will also need a proven interest in learning about and understanding the latest methods and technologies within data science and engineering. This is an opportunity to join a dynamic, supportive team working across a range of interesting technologies. We are looking for potential as much as experience, so if the above sounds exciting but daunting please do still apply. In return the CMA is a hugely rewarding, diverse and stimulating place to work - an opportunity to work for the public good and to stretch and develop yourself in doing so. All CMA staff enjoy generous benefits, including an excellent pension scheme, at least 25 days leave (increasing to 30 over five years), and generous maternity/paternity leave provision. You can also take advantage of interest-free season ticket loans, a cycle to work scheme, childcare vouchers, and favourable consideration of flexible working. To find out more about this opportunity and about working for the CMA, please click on the APPLY button. Closing date for applications: 11:55 pm on 20 June 2022. The CMA are an accredited Disability Confident Employer, and we are an equal opportunities employer, welcoming suitably qualified applicants from all backgrounds. We recruit by merit on the basis of fair and open competition, as outlined in the Civil Service Commission's recruitment principles."
176,Data Architect - Hybrid Working,Permanent,£70k - £95k per annum + Bonus + Car Allowance +Benefits,"Birmingham, UK",Michael Page Technology,JS-JN -052022-5601219,"Reporting to the Head of Management Information, this leading professional services provider require a Data Architect to lead on designing, creating, deploying and managing the data architecture within key business units to ensure that data models fulfil the strategic data needs of the business. As the Data Architect you will have knowledge of system architecture (incl. Cloud/Azure) in order to influence the design and core properties of the system.Client DetailsLeading Professional Services organisationDescriptionReporting to the Head of Management Information, this leading professional services provider require a Data Architect to lead on designing, creating, deploying and managing the data architecture within key business units to ensure that data models fulfil the strategic data needs of the business. As the Data Architect you will have knowledge of system architecture (incl. Cloud/Azure) in order to influence the design and core properties of the system.You will be expected to set Data Architect principles, create models of data to support the implementation of Business/Data Architecture, create diagrams showing key data entities and create documentation and inventory to support the overall implementation. This individual will be responsible for providing clarity about every aspect of data, to enable data scientists to work with trustable data efficiently and to solve complex business problems. You will map the data flows between data systems and advise on which type of database design and data format to use. Knowledge of data warehouses/modelling and their application for reporting on historical data is essential.Key Responsibilities:Work with Clients to create a centralised Data Architecture aligned with business processesDesign flexible architecture that can take advantage of new business opportunities and emerging technologiesMap the data flows between data systems and advise on which type of database and data format to use. Ensure that these systems are designed in a synergistic way and ensure integrity between the data source and its referencesUnderstand existing platforms and databases whilst designing for the futureInform and influence process definition and application build to serve the best interests of the data architecture blueprintWork with stakeholders to fully understand business processes and operations to ensure that the data architecture design meets these requirementsKnowledge of data warehouses and their application for reporting on historical dataDesign the data entities, data elements, taxonomies and data flows that sit underneath the business processesHave a full understanding of the output data required to satisfy reporting and analytics; along with, the source data to be gathered, transformed or referenced to produce the output dataEnsure that all designs account for expected standards of data quality and service level agreementsWork closely with enterprise and system architects to guide the enterprise solutionUnderstand and help define data archival and retention policies and adhere to standards of data governanceBuild an architectural blueprint at the conceptual and logical level (based on business process and operations) to ensure the successful implementation of systems architecture and to avoid disjointed data systems and gaps between teams and departmentsKey Skills & Experience:Depth in Datamodelling and designing effective database solutions and models to store and retrieve company dataKnowledge of how to examine new data system requirements, implement migration models and oversee the migration of data from Legacy systems to new solutionsKnow how to assure and integrate data services to meet the needs of the business.Strong communicator with excellent stakeholder management/interpersonal skillsGood level of understanding and experience as a developer and administrator of SQL databases (preferably MySQL and SQL Server).Good experience of profiling, wrangling, transforming and troubleshooting data from a variety of sources including SQL-databases and Excel Spreadsheets.Understand schema, entities, data flow and the business rules that need to be applied to the dataA medium level understanding of business analysis in practice and requirements engineeringKnowledge of established and emerging data technologies and the latest innovations in the marketStrong mathematical and analytical skills to perform analytical reasoning, computation, interpretation and presentation of data Can design models with well-defined data elementsExpert knowledge of databases and cloud architecture/AzureTOGAF Qualification is highly desirableProfileDepth in Datamodelling and designing effective database solutions and models to store and retrieve company dataKnowledge of how to examine new data system requirements, implement migration models and oversee the migration of data from Legacy systems to new solutionsKnow how to assure and integrate data services to meet the needs of the business.Good level of understanding and experience as a developer and administrator of SQL databases (preferably MySQL and SQL Server).Good experience of profiling, wrangling, transforming and troubleshooting data from a variety of sources including SQL-databases and Excel Spreadsheets.Understand schema, entities, data flow and the business rules that need to be applied to the dataKnowledge of established and emerging data technologies and the latest innovations in the marketStrong mathematical and analytical skills to perform analytical reasoning, computation, interpretation and presentation of data Can design models with well-defined data elementsExpert knowledge of databases and cloud architecture/AzureTOGAF Qualification is highly desirableJob OfferOpportunity to lead on Data Architecture transformationOpportunity to work on a major Data Transformation Programme"
177,Data Analyst,Contract,£350.00 per Day,"Bath, UK",Michael Page Technology,JS-JN -062022-5644137,"A leading FTSE 200 Manufacturing client of Michael Page are looking to recruit for a talented Data Analyst to help provide sales and market intelligence to support the leadership in developing their strategy and growthClient Details Leading FTSE 200 Manufacturing client DescriptionDevelop database tools and processes to improve the delivery of sales and market BI to key stakeholders using internal data from ERP, CRM, and external data sourcesWork with IT to extend the scope and functionality of the SDP (Strategic Data Platform), Power BI dataset and the Group Sales & Quote Analysis Power BI dashboardOptimise the accuracy of the sales and market analysis data held on internal systemsDevelop databases and tools to manage and interpret large volumes of complex data using Access, Excel, and Power BI, ProfileData AnalysisPower BIERPStrong analytical skills and the ability to present conclusions and insights in a clear and concise mannerThe ability to create great presentations using visualisation toolsA technical aptitude and interest in engineering applicationsJob Offer6 month contract£350 per day (Outside IR35)Based in Bath (Hybrid working offered)"
178,Data Services Python Developer,Contract,£550 & £650 per day INSIDE IR35,"London, UK",Michael Page Technology,JS-JN -062022-5636720,"My client - an international bank with sites in London, is looking for a Data Services Python Developer responsible for construction of application components and Scripting to manage the transformation of data between upstream and the Risk System data warehouse.Client DetailsMy client is an international Bank in the Financial Services industry. DescriptionThe successful candidate for the Data Services Python Developer 6-month contract role based in London will fulfil the following:EssentialDesign, build, and maintain efficient, reusable, and reliable Python codeRapidly prototyping solutions to quickly prove/disprove new conceptsDesign and implementation of low-latency, high-availability, and performant applicationsWork directly with Risk analysts and Product owners to turn functional requirements into efficient and maintainable codeEnsure the best possible performance, quality, and responsiveness of the applicationsIdentify bottlenecks and bugs, and devise solutions to these problemsHelp maintain code quality, organisation, and automationIntegration with a variety of data storage solutionsDelivery focused, with strong analytical and creative approachDesirable:Previous work in market and/or counterparty riskExposure to the practical issues of data loading, validation, and managementPrevious use of Java 8 or above for development ProfileTo be considered for the Data Services Python Developer role, the candidate must present evidence of the following:Able to incrementally deliver Server Side applications to meet ever changing customer requirementsProficient in Python, with a good knowledge of its ecosystemSolid understanding of object-oriented programming and functional programming paradigmsFamiliar with Python application design and architectural patternsDemonstrable ability to write clean and readable codeProven work with SQL and any industry standard relational database.Understanding fundamental design principles behind a scalable applicationCreating data schemas that represent and support business processesUnit test and debugging skills are welcomeJob OfferThe day rate for this contract role is between £550 & £650 per day INSIDE IR35Minimum 6 month contract with likely extensionOpportunity for hybrid working within the financial services industry"
179,"Data Scientist - Predictive Modelling, Python/SQL (not ML/AI)",Permanent,£45k - £55k per annum + Excellent Benefits,"London, UK",Michael Page Technology,JS-JN -062022-5647765,"Client DetailsDigital/Commercial Service ProviderDescriptionThis Private Equity owned, high growth Digital Business require a Data Scientist to work with the senior leadership team (CXO) to analyse and interpret large, complex datasets to help shape the next phase of growth and optimize revenue performance. The role holder will advance the analytical data capabilities across the business by deploying data science/analysis techniques across predictive/linear/regression modelling in a commercial setting. This role does not require Machine Learning or AI application. You will be required to work 2-3 days in the office in London in order to collaborate with broader teams and CXO function.Key ResponsibilitiesUndertake statistical and predictive modelling to guide the leadership team about previous and future business performanceWork with stakeholders throughout the organisation to identify opportunities for leveraging company data to drive business solutionsMine and analyse data from company databases and external sources to drive optimization and improvement of sales (go-to-market) and collections performanceAssess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data setsUse predictive modelling to increase and optimise client experiences, revenue generation and other business outcomesCoordinate with different functional teams to implement models and monitor outcomesImprove the collection of data by building new queries (Python/SQL) and databases that will generate improved performance reportingAnalyse raw data: assessing quality, cleansing, structuring for downstream processingDesign accurate and scalable prediction algorithmsCollaborate with engineering teams to bring analytical prototypes to productionGenerate actionable insights for business improvements via visualisation tools (ideally Power BI)Qualifications, Skills and ExperienceBachelor's degree or equivalent experience in a Quantitative or Scientific field (Statistics, Mathematics, Computer Science, Engineering, etc.)At least 1 - 2 years' of experience in quantitative analytics or Datamodelling/predictive modellingDeep understanding of predictive modelling and algorithmsFluency in a programming language (Python, Anaconda, SQL)Experience of common data science toolkits such as Pandas, NumPy, Scikit-learnExperience with data quality assurance and data cleansingFamiliarity with Big Data frameworks and visualization tools (Power BI)Commercial skillsProfileBachelor's degree or equivalent experience in a Quantitative or Scientific field (Statistics, Mathematics, Computer Science, Engineering, etc.)At least 1 - 2 years' of experience in quantitative analytics or Datamodelling/predictive modellingDeep understanding of predictive modelling and algorithmsFluency in a programming language (Python, Anaconda, SQL)Experience of common data science toolkits such as Pandas, NumPy, Scikit-learnExperience with data quality assurance and data cleansingFamiliarity with Big Data frameworks and visualization tools (Power BI)Commercial skillsJob OfferOpportunity to Lead on the creation of a Data Science capabilityOpportunity to work with CXO leadership team to shape commercial strategy"
180,Data Privacy Business Analyst,Contract,470 per day,"London, UK",McCabe & Barton,JSBA/111,"McCabe & Barton are currently working with a very reputable retail client, headhunting for a Data Privacy Business Analyst position, with a desirable day rate and opportunity on a 3 months' contract basis, with the view to extend. Key skills and responsibilities are as follows:  Extensive experience in the retail and Business Analysis sphere. Experience with Data Privacy. Strong documentation approval processes and prioritisation experience. Ability and experience to run work-shops. Operational model design skills. Experience of working in an Agile environment In-depth experience of change management and transformation. Great time management, team player & collaborative.  If you are interested, please do e-mail your CV or apply to the advertisement. Contact: Taylor Ord-Maxfield E-mail: (see below)  Number: (see below) "
181,Data Protection Manager - Leading Financial Services firm,Permanent,Up to £70k + bonus + package,"London, UK",Hunter Bond,JS,"My Leading Financial Services client are looking for an experienced and strategic Data Protection Manager. You'll be responsible for embedding the Data Protection framework across the organisation, setting strategic direction and monitoring effective DP management. A high profile role and great opportunity! The following skills/experience is required:  Strong Data Protection background Experience talking and presenting to Senior management Good GDPR understanding Risk framework knowledge DP or Risk qualification Excellent communication skills  Salary: Up to £70,000 + bonus + package Location: London (good working from home options available) If you are interested in this position and meet the above requirements please apply immediately."
182,Data Architect (Must be SC Cleared),Contract,£600.00/Day inside of IR35,"Manchester, Telford, Southend or London - one of those 4, UK",J & C Associates Ltd,JSDATA ARCHITECT (MUST BE SC CLEARED),"We are IT Recruitment Specialists partnered with a prestigious Global Consultancy who require a Data Architect (Must be SC Cleared)for one of their Public Sector Clients based in  Manchester, Telford, Southend or London - one of those 4   IR35 - This role is Outside IR35  Role Title: Data Architect - Must be SC ClearedLocations - spread across delivery centres - 4 sites - Manchester, Telford, Southend or London - one of those 43 months rolling contract WFH 3 days a week, possibly a maximum of 2 days in the officeFamiliar with a PDI, Talend, ability to talk Architectures, TOGAf like qualification to them. If you are interested in this position and would like to learn more, please send through your CV and we will get in touch with you as soon as possible. Please note, candidates are often Shortlisted within 48 hours."
183,Data & Research Analyst,Contract,"£100 - £150 per Day + Remote Working, Flexible Working","Fareham, UK",Concept Resourcing,JS-BBBH41520,"My client in Fareham, Hampshire are a large government organisation, they are seeking a Data & Research Analyst on an initial 6 month contract basis (37 hours per week). The role is paying £19.91 per hour (permanent salary equivalent £36,838) for the duration of the contract. Qualifications PhD/Degree/MSc in a highly numerate subject (eg Maths, Economics, Statistics, Physics, Computer Science) ExperienceStrong skills in R programming for data analysis (essential).Excellent team-working skills.Ability to produce results and provide information in a fast-paced environment.Excellent communication skills, both written and oral.Competent in Microsoft Excel.Excellent attention to detail.Successful candidates will be required to undergo SC Clearance, therefore applicants must of resided in the UK for a minimum of three out of the last five years, in order to undergo this level of security check."
184,Data visualization specialist - 12 months FTC,Contract/Permanent,£50k per year + FTC,"Richmond upon Thames, Greater London, England, UK",Proactive Appointments,JS18752DH," Fixed Term Contract - 12 months  The Candidate will report to MI Manager and collaborate with Business and data warehouse team to understand our data, create a meaningful insight, and build visualization. This should lead to create an innovative dashboard to explain, engage and enlighten executive leadership, business community to benefit help taking the data driven decisions. Skills, Competencies & Personal Qualities:  7-10 years of experience working with enterprise level heterogeneous data environment and data visualization tools such as TableauExposure to graphic design and visual data story tellingStrong data analysis skills particularly in the form of data manipulation and reporting in tableauDetail-oriented, organised, exceptional critical thinking and problem-solving mindsetGood understanding of the relational databases RDBMS,data warehouse, data marts, ETL techniquesGood understanding of data management principles and data root cause analysisLeasing domain knowledge (good to have, not a must)R programming and Datamodelling knowledge (Good to have)Tableau certified professionalPassion for story telling with data, ready for continuous changes and positive attitude  Due to the volume of applications received for positions, it will not be possible to respond to all applications and only applicants who are considered suitable for interview will be contacted.  Proactive Appointments Limited operates as an employment agency and employment business and is an equal opportunities organisation   We take our obligations to protect your personal data very seriously. Any information provided to us will be processed as detailed in our Privacy Notice, a copy of which can be found on our website "
185,Data Analyst,Permanent,£51k - £70k per annum,"London, UK",IDPP,JS-BBBH3789,"We are currently assisting one of the worlds leading Technology Consultancies with their need for a Data Analyst to join their team on a permanent basis. The post will be based from their London office working on a Hybrid basis of 2/3 days per week in the office and the remainder home working. Duties within the role will include:Collaborate with end users, product managers, data scientists and other SMEs to make design decisions and formulate implementation strategies.Form lasting partnerships with data scientists to develop new data science ideas into enterprise grade applications with real business value.Become advocate for innovation and get excited about new technologies and new ways of doing things.Invest time in both learning and advancing your knowledge and sharing your knowledge through peer reviews, demos, debates, and other knowledge sharing platforms.Skills/Experience RequiredMinimumExperience working with Linux and using the command line.Proficient in using Python programming; knowledge in Python frameworksDesirable Knowledge in Django REST frameworkExperience building and consuming RESTful APIs.Experience using UI frameworks (Angular/React/Vue) and CSS frameworksExperience in developing JavaScript applicationsRelational DB (eg, PostgreSQL, MySQL).Understanding of web application security practices and cloud security principles.AWS services (eg, S3, EC2, SageMaker)Familiarity with CI/CD, GIT, DockerKnowledge of graph databaseTo apply for this opportunity or for further information please respond via this advert with a copy of your current CV or call Richard New."
186,Data Visualisation and Automation Analyst,Permanent,£40k - £50k per annum,"London, UK",Lorien,JS-BBBH22428,"My client, a multinational, multi-brand business serving millions of customers a day within the retail sector are currently seeking a new Data Visualisation and Automation Analyst to join their high calibre Applied Data & Analytics team and bring on their expertise to stretch their imagination of what the power of data and insights can contribute to their current way of working.As a Data Visualisation and Automation Analyst, you'll use the data to deliver value to the organisation across all aspects of the business, delivering a range of scalable data products to various business units to help solve complex business challenges and ultimately help the organisation to become more data-centric.Responsibilities IncludeWork with product owners in relevant squads to create an automation, reporting and visualisation backlogWork with the product owner to understand where the biggest value-creating opportunities lie and then deliver both POC's and productionised reporting capabilities that fulfil the requirementsPrioritise requirements and produce a road map of activities, with product owners, which will deliver in a timely, cost-effective and highly repeatable way for your stakeholdersManage and lead a team, both on- and off-shore, to deliver outstanding products on-time, to budget and specificationKey SkillsA strong understanding of the tools and technologies that can support great reporting, including Microstrategy, PowerBI and TableauMust also have strong experience and understanding of SQLA strong understanding of the tools and technologies that can support great reporting, automation and visualisationLorien Plc is acting as an Employment Agency in relation to this vacancy."
187,Data Analyst - Hybrid - £48k,Permanent,£48k,"London, UK",McCabe & Barton,JS/FP/DA03,McCabe and Barton are pleased to be working with a large media partner to offer a data analyst role. The role will be responsible for delivering analytics and recommendations to guide the company in the subscriptions business and forecast subscription acquisition and retention.  Key skills and experience required:   Minimum 3 years in a data analyst or similar role  Experience working in a subscriptions or recurring revenue environment  Advanced knowledge of SQL  Experience with PowerBI (plus DAX) or Tableau Ability to present data findings to senior stakeholders Excellent communication skills Comfortable working with stakeholders at all levels Can do attitude and natural problem solves  Skills and experience that would be beneficial:   Knowledge of statistical analysis with R or Python  Experience working with Google Analytics  If interested and you feel your skills would fit the specifications please do send your CV to Finn Pope
